Time,Requests,TimeStr,TimeParsed,TimeOnly,RollingMean,Delta,DeltaAbs,RelDev,ZScore,anomaly,SessionTime
18:32,163,18:32,1900-01-01 18:32:00,18:32,170.0,-26.0,26.0,7.0,-0.8259072230511052,1,2026-05-31 19:15:09.022245
18:33,173,18:33,1900-01-01 18:33:00,18:33,175.0,10.0,10.0,2.0,-0.7476900061009127,1,2026-05-31 19:15:09.022245
18:34,215,18:34,1900-01-01 18:34:00,18:34,183.66666666666663,42.0,42.0,31.333333333333343,-0.4226907146277655,1,2026-05-31 19:15:09.022245
18:35,189,18:35,1900-01-01 18:35:00,18:35,192.33333333333337,-26.0,26.0,3.333333333333343,-0.6232823423539853,1,2026-05-31 19:15:09.022245
18:36,165,18:36,1900-01-01 18:36:00,18:36,189.66666666666663,-24.0,24.0,24.666666666666657,-0.8102327458319848,1,2026-05-31 19:15:09.022245
18:37,175,18:37,1900-01-01 18:37:00,18:37,176.33333333333334,10.0,10.0,1.3333333333333428,-0.732091490340477,1,2026-05-31 19:15:09.022245
18:38,178,18:38,1900-01-01 18:38:00,18:38,172.66666666666666,3.0,3.0,5.333333333333343,-0.7087202860837438,1,2026-05-31 19:15:09.022245
18:39,158,18:39,1900-01-01 18:39:00,18:39,170.33333333333334,-20.0,20.0,12.333333333333345,-0.8651648892508482,1,2026-05-31 19:15:09.022245
18:40,155,18:40,1900-01-01 18:40:00,18:40,163.66666666666666,-3.0,3.0,8.666666666666657,-0.888770157029474,1,2026-05-31 19:15:09.022245
18:41,167,18:41,1900-01-01 18:41:00,18:41,160.0,12.0,12.0,7.0,-0.7945741116705862,1,2026-05-31 19:15:09.022245
18:42,166,18:42,1900-01-01 18:42:00,18:42,162.66666666666666,-1.0,1.0,3.333333333333343,-0.8024014688379221,1,2026-05-31 19:15:09.022245
18:43,220,18:43,1900-01-01 18:43:00,18:43,184.33333333333337,54.0,54.0,35.66666666666666,-0.3842919430745654,1,2026-05-31 19:15:09.022245
18:44,428,18:44,1900-01-01 18:44:00,18:44,271.3333333333333,208.0,208.0,156.66666666666669,1.2276315990910318,-1,2026-05-31 19:15:09.022245
18:45,442,18:45,1900-01-01 18:45:00,18:45,363.3333333333333,14.0,14.0,78.66666666666669,1.3416709345696325,1,2026-05-31 19:15:09.022245
18:46,393,18:46,1900-01-01 18:46:00,18:46,421.0,-49.0,49.0,28.0,0.9476374803169384,1,2026-05-31 19:15:09.022245
18:47,428,18:47,1900-01-01 18:47:00,18:47,421.0,35.0,35.0,7.0,1.2276315990910318,1,2026-05-31 19:15:09.022245
18:48,383,18:48,1900-01-01 18:48:00,18:48,401.3333333333333,-45.0,45.0,18.33333333333331,0.8687776018961947,1,2026-05-31 19:15:09.022245
18:49,412,18:49,1900-01-01 18:49:00,18:49,407.6666666666667,29.0,29.0,4.333333333333314,1.0988001074653706,1,2026-05-31 19:15:09.022245
18:50,463,18:50,1900-01-01 18:50:00,18:50,419.3333333333333,51.0,51.0,43.666666666666686,1.5153341375009568,1,2026-05-31 19:15:09.022245
18:51,478,18:51,1900-01-01 18:51:00,18:51,451.0,15.0,15.0,27.0,1.6415294723518272,1,2026-05-31 19:15:09.022245
18:52,430,18:52,1900-01-01 18:52:00,18:52,457.0,-48.0,48.0,27.0,1.2438445246450152,1,2026-05-31 19:15:09.022245
18:53,429,18:53,1900-01-01 18:53:00,18:53,445.6666666666667,-1.0,1.0,16.666666666666686,1.2357349002178013,1,2026-05-31 19:15:09.022245
18:54,410,18:54,1900-01-01 18:54:00,18:54,423.0,-19.0,19.0,13.0,1.0827995682053713,1,2026-05-31 19:15:09.022245
18:55,431,18:55,1900-01-01 18:55:00,18:55,423.3333333333333,21.0,21.0,7.666666666666686,1.251960520515646,1,2026-05-31 19:15:09.022245
18:56,416,18:56,1900-01-01 18:56:00,18:56,419.0,-15.0,15.0,3.0,1.1308679067966343,1,2026-05-31 19:15:09.022245
18:57,403,18:57,1900-01-01 18:57:00,18:57,416.6666666666667,-13.0,13.0,13.666666666666686,1.026966662309193,1,2026-05-31 19:15:09.022245
18:58,407,18:58,1900-01-01 18:58:00,18:58,408.6666666666667,4.0,4.0,1.6666666666666856,1.058839441148786,1,2026-05-31 19:15:09.022245
18:59,63,18:59,1900-01-01 18:59:00,18:59,291.0,-344.0,344.0,228.0,-1.6376352360796274,-1,2026-05-31 19:15:09.022245
18:23,1,18:23,1900-01-01 18:23:00,18:23,1.0,0.0,0.0,0.0,-2.182589624499733,1,2026-05-31 19:16:14.915981
18:24,162,18:24,1900-01-01 18:24:00,18:24,81.5,161.0,161.0,80.5,-0.8337505054003543,1,2026-05-31 19:16:14.915981
18:25,219,18:25,1900-01-01 18:25:00,18:25,127.33333333333331,57.0,57.0,91.66666666666669,-0.3919678924939647,1,2026-05-31 19:16:14.915981
18:26,150,18:26,1900-01-01 18:26:00,18:26,177.0,-69.0,69.0,27.0,-0.9282003436205292,1,2026-05-31 19:16:14.915981
18:27,189,18:27,1900-01-01 18:27:00,18:27,186.0,39.0,39.0,3.0,-0.6232823423539853,1,2026-05-31 19:16:14.915981
18:28,165,18:28,1900-01-01 18:28:00,18:28,168.0,-24.0,24.0,3.0,-0.8102327458319848,1,2026-05-31 19:16:14.915981
18:29,227,18:29,1900-01-01 18:29:00,18:29,193.66666666666663,62.0,62.0,33.33333333333334,-0.33060941233118,1,2026-05-31 19:16:14.915981
18:30,158,18:30,1900-01-01 18:30:00,18:30,183.33333333333337,-69.0,69.0,25.333333333333343,-0.8651648892508482,1,2026-05-31 19:16:14.915981
18:31,189,18:31,1900-01-01 18:31:00,18:31,191.33333333333337,31.0,31.0,2.333333333333343,-0.6232823423539853,1,2026-05-31 19:16:14.915981
18:32,163,18:32,1900-01-01 18:32:00,18:32,170.0,-26.0,26.0,7.0,-0.8259072230511052,1,2026-05-31 19:16:14.915981
18:33,173,18:33,1900-01-01 18:33:00,18:33,175.0,10.0,10.0,2.0,-0.7476900061009127,1,2026-05-31 19:16:14.915981
18:34,215,18:34,1900-01-01 18:34:00,18:34,183.66666666666663,42.0,42.0,31.333333333333343,-0.4226907146277655,1,2026-05-31 19:16:14.915981
18:35,189,18:35,1900-01-01 18:35:00,18:35,192.33333333333337,-26.0,26.0,3.333333333333343,-0.6232823423539853,1,2026-05-31 19:16:14.915981
18:36,165,18:36,1900-01-01 18:36:00,18:36,189.66666666666663,-24.0,24.0,24.666666666666657,-0.8102327458319848,1,2026-05-31 19:16:14.915981
18:37,175,18:37,1900-01-01 18:37:00,18:37,176.33333333333334,10.0,10.0,1.3333333333333428,-0.732091490340477,1,2026-05-31 19:16:14.915981
18:38,178,18:38,1900-01-01 18:38:00,18:38,172.66666666666666,3.0,3.0,5.333333333333343,-0.7087202860837438,1,2026-05-31 19:16:14.915981
18:39,158,18:39,1900-01-01 18:39:00,18:39,170.33333333333334,-20.0,20.0,12.333333333333345,-0.8651648892508482,1,2026-05-31 19:16:14.915981
18:40,155,18:40,1900-01-01 18:40:00,18:40,163.66666666666666,-3.0,3.0,8.666666666666657,-0.888770157029474,1,2026-05-31 19:16:14.915981
18:41,167,18:41,1900-01-01 18:41:00,18:41,160.0,12.0,12.0,7.0,-0.7945741116705862,1,2026-05-31 19:16:14.915981
18:42,166,18:42,1900-01-01 18:42:00,18:42,162.66666666666666,-1.0,1.0,3.333333333333343,-0.8024014688379221,1,2026-05-31 19:16:14.915981
18:43,220,18:43,1900-01-01 18:43:00,18:43,184.33333333333337,54.0,54.0,35.66666666666666,-0.3842919430745654,1,2026-05-31 19:16:14.915981
18:44,428,18:44,1900-01-01 18:44:00,18:44,271.3333333333333,208.0,208.0,156.66666666666669,1.2276315990910318,-1,2026-05-31 19:16:14.915981
18:45,442,18:45,1900-01-01 18:45:00,18:45,363.3333333333333,14.0,14.0,78.66666666666669,1.3416709345696325,1,2026-05-31 19:16:14.915981
18:46,393,18:46,1900-01-01 18:46:00,18:46,421.0,-49.0,49.0,28.0,0.9476374803169384,1,2026-05-31 19:16:14.915981
18:47,428,18:47,1900-01-01 18:47:00,18:47,421.0,35.0,35.0,7.0,1.2276315990910318,1,2026-05-31 19:16:14.915981
18:48,383,18:48,1900-01-01 18:48:00,18:48,401.3333333333333,-45.0,45.0,18.33333333333331,0.8687776018961947,1,2026-05-31 19:16:14.915981
18:49,412,18:49,1900-01-01 18:49:00,18:49,407.6666666666667,29.0,29.0,4.333333333333314,1.0988001074653706,1,2026-05-31 19:16:14.915981
18:50,463,18:50,1900-01-01 18:50:00,18:50,419.3333333333333,51.0,51.0,43.666666666666686,1.5153341375009568,1,2026-05-31 19:16:14.915981
18:51,478,18:51,1900-01-01 18:51:00,18:51,451.0,15.0,15.0,27.0,1.6415294723518272,1,2026-05-31 19:16:14.915981
18:52,430,18:52,1900-01-01 18:52:00,18:52,457.0,-48.0,48.0,27.0,1.2438445246450152,1,2026-05-31 19:16:14.915981
18:53,429,18:53,1900-01-01 18:53:00,18:53,445.6666666666667,-1.0,1.0,16.666666666666686,1.2357349002178013,1,2026-05-31 19:16:14.915981
18:54,410,18:54,1900-01-01 18:54:00,18:54,423.0,-19.0,19.0,13.0,1.0827995682053713,1,2026-05-31 19:16:14.915981
18:55,431,18:55,1900-01-01 18:55:00,18:55,423.3333333333333,21.0,21.0,7.666666666666686,1.251960520515646,1,2026-05-31 19:16:14.915981
18:56,416,18:56,1900-01-01 18:56:00,18:56,419.0,-15.0,15.0,3.0,1.1308679067966343,1,2026-05-31 19:16:14.915981
18:57,403,18:57,1900-01-01 18:57:00,18:57,416.6666666666667,-13.0,13.0,13.666666666666686,1.026966662309193,1,2026-05-31 19:16:14.915981
18:58,407,18:58,1900-01-01 18:58:00,18:58,408.6666666666667,4.0,4.0,1.6666666666666856,1.058839441148786,1,2026-05-31 19:16:14.915981
18:59,63,18:59,1900-01-01 18:59:00,18:59,291.0,-344.0,344.0,228.0,-1.6376352360796274,-1,2026-05-31 19:16:14.915981
18:23,1,18:23,1900-01-01 18:23:00,18:23,1.0,0.0,0.0,0.0,-2.182589624499733,1,2026-05-31 19:16:31.760820
18:24,162,18:24,1900-01-01 18:24:00,18:24,81.5,161.0,161.0,80.5,-0.8337505054003543,1,2026-05-31 19:16:31.760820
18:25,219,18:25,1900-01-01 18:25:00,18:25,127.33333333333331,57.0,57.0,91.66666666666669,-0.3919678924939647,1,2026-05-31 19:16:31.760820
18:26,150,18:26,1900-01-01 18:26:00,18:26,177.0,-69.0,69.0,27.0,-0.9282003436205292,1,2026-05-31 19:16:31.760820
18:27,189,18:27,1900-01-01 18:27:00,18:27,186.0,39.0,39.0,3.0,-0.6232823423539853,1,2026-05-31 19:16:31.760820
18:28,165,18:28,1900-01-01 18:28:00,18:28,168.0,-24.0,24.0,3.0,-0.8102327458319848,1,2026-05-31 19:16:31.760820
18:29,227,18:29,1900-01-01 18:29:00,18:29,193.66666666666663,62.0,62.0,33.33333333333334,-0.33060941233118,1,2026-05-31 19:16:31.760820
18:30,158,18:30,1900-01-01 18:30:00,18:30,183.33333333333337,-69.0,69.0,25.333333333333343,-0.8651648892508482,1,2026-05-31 19:16:31.760820
18:31,189,18:31,1900-01-01 18:31:00,18:31,191.33333333333337,31.0,31.0,2.333333333333343,-0.6232823423539853,1,2026-05-31 19:16:31.760820
18:32,163,18:32,1900-01-01 18:32:00,18:32,170.0,-26.0,26.0,7.0,-0.8259072230511052,1,2026-05-31 19:16:31.760820
18:33,173,18:33,1900-01-01 18:33:00,18:33,175.0,10.0,10.0,2.0,-0.7476900061009127,1,2026-05-31 19:16:31.760820
18:34,215,18:34,1900-01-01 18:34:00,18:34,183.66666666666663,42.0,42.0,31.333333333333343,-0.4226907146277655,1,2026-05-31 19:16:31.760820
18:35,189,18:35,1900-01-01 18:35:00,18:35,192.33333333333337,-26.0,26.0,3.333333333333343,-0.6232823423539853,1,2026-05-31 19:16:31.760820
18:36,165,18:36,1900-01-01 18:36:00,18:36,189.66666666666663,-24.0,24.0,24.666666666666657,-0.8102327458319848,1,2026-05-31 19:16:31.760820
18:37,175,18:37,1900-01-01 18:37:00,18:37,176.33333333333334,10.0,10.0,1.3333333333333428,-0.732091490340477,1,2026-05-31 19:16:31.760820
18:38,178,18:38,1900-01-01 18:38:00,18:38,172.66666666666666,3.0,3.0,5.333333333333343,-0.7087202860837438,1,2026-05-31 19:16:31.760820
18:39,158,18:39,1900-01-01 18:39:00,18:39,170.33333333333334,-20.0,20.0,12.333333333333345,-0.8651648892508482,1,2026-05-31 19:16:31.760820
18:40,155,18:40,1900-01-01 18:40:00,18:40,163.66666666666666,-3.0,3.0,8.666666666666657,-0.888770157029474,1,2026-05-31 19:16:31.760820
18:41,167,18:41,1900-01-01 18:41:00,18:41,160.0,12.0,12.0,7.0,-0.7945741116705862,1,2026-05-31 19:16:31.760820
18:42,166,18:42,1900-01-01 18:42:00,18:42,162.66666666666666,-1.0,1.0,3.333333333333343,-0.8024014688379221,1,2026-05-31 19:16:31.760820
18:43,220,18:43,1900-01-01 18:43:00,18:43,184.33333333333337,54.0,54.0,35.66666666666666,-0.3842919430745654,1,2026-05-31 19:16:31.760820
18:44,428,18:44,1900-01-01 18:44:00,18:44,271.3333333333333,208.0,208.0,156.66666666666669,1.2276315990910318,-1,2026-05-31 19:16:31.760820
18:45,442,18:45,1900-01-01 18:45:00,18:45,363.3333333333333,14.0,14.0,78.66666666666669,1.3416709345696325,1,2026-05-31 19:16:31.760820
18:46,393,18:46,1900-01-01 18:46:00,18:46,421.0,-49.0,49.0,28.0,0.9476374803169384,1,2026-05-31 19:16:31.760820
18:47,428,18:47,1900-01-01 18:47:00,18:47,421.0,35.0,35.0,7.0,1.2276315990910318,1,2026-05-31 19:16:31.760820
18:48,383,18:48,1900-01-01 18:48:00,18:48,401.3333333333333,-45.0,45.0,18.33333333333331,0.8687776018961947,1,2026-05-31 19:16:31.760820
18:49,412,18:49,1900-01-01 18:49:00,18:49,407.6666666666667,29.0,29.0,4.333333333333314,1.0988001074653706,1,2026-05-31 19:16:31.760820
18:50,463,18:50,1900-01-01 18:50:00,18:50,419.3333333333333,51.0,51.0,43.666666666666686,1.5153341375009568,1,2026-05-31 19:16:31.760820
18:51,478,18:51,1900-01-01 18:51:00,18:51,451.0,15.0,15.0,27.0,1.6415294723518272,1,2026-05-31 19:16:31.760820
18:52,430,18:52,1900-01-01 18:52:00,18:52,457.0,-48.0,48.0,27.0,1.2438445246450152,1,2026-05-31 19:16:31.760820
18:53,429,18:53,1900-01-01 18:53:00,18:53,445.6666666666667,-1.0,1.0,16.666666666666686,1.2357349002178013,1,2026-05-31 19:16:31.760820
18:54,410,18:54,1900-01-01 18:54:00,18:54,423.0,-19.0,19.0,13.0,1.0827995682053713,1,2026-05-31 19:16:31.760820
18:55,431,18:55,1900-01-01 18:55:00,18:55,423.3333333333333,21.0,21.0,7.666666666666686,1.251960520515646,1,2026-05-31 19:16:31.760820
18:56,416,18:56,1900-01-01 18:56:00,18:56,419.0,-15.0,15.0,3.0,1.1308679067966343,1,2026-05-31 19:16:31.760820
18:57,403,18:57,1900-01-01 18:57:00,18:57,416.6666666666667,-13.0,13.0,13.666666666666686,1.026966662309193,1,2026-05-31 19:16:31.760820
18:58,407,18:58,1900-01-01 18:58:00,18:58,408.6666666666667,4.0,4.0,1.6666666666666856,1.058839441148786,1,2026-05-31 19:16:31.760820
18:59,63,18:59,1900-01-01 18:59:00,18:59,291.0,-344.0,344.0,228.0,-1.6376352360796274,-1,2026-05-31 19:16:31.760820
18:23,1,18:23,1900-01-01 18:23:00,18:23,1.0,0.0,0.0,0.0,-2.182589624499733,1,2026-05-31 19:19:45.797427
18:24,162,18:24,1900-01-01 18:24:00,18:24,81.5,161.0,161.0,80.5,-0.8337505054003543,1,2026-05-31 19:19:45.797427
18:25,219,18:25,1900-01-01 18:25:00,18:25,127.33333333333331,57.0,57.0,91.66666666666669,-0.3919678924939647,1,2026-05-31 19:19:45.797427
18:26,150,18:26,1900-01-01 18:26:00,18:26,177.0,-69.0,69.0,27.0,-0.9282003436205292,1,2026-05-31 19:19:45.797427
18:27,189,18:27,1900-01-01 18:27:00,18:27,186.0,39.0,39.0,3.0,-0.6232823423539853,1,2026-05-31 19:19:45.797427
18:28,165,18:28,1900-01-01 18:28:00,18:28,168.0,-24.0,24.0,3.0,-0.8102327458319848,1,2026-05-31 19:19:45.797427
18:29,227,18:29,1900-01-01 18:29:00,18:29,193.66666666666663,62.0,62.0,33.33333333333334,-0.33060941233118,1,2026-05-31 19:19:45.797427
18:30,158,18:30,1900-01-01 18:30:00,18:30,183.33333333333337,-69.0,69.0,25.333333333333343,-0.8651648892508482,1,2026-05-31 19:19:45.797427
18:31,189,18:31,1900-01-01 18:31:00,18:31,191.33333333333337,31.0,31.0,2.333333333333343,-0.6232823423539853,1,2026-05-31 19:19:45.797427
18:32,163,18:32,1900-01-01 18:32:00,18:32,170.0,-26.0,26.0,7.0,-0.8259072230511052,1,2026-05-31 19:19:45.797427
18:33,173,18:33,1900-01-01 18:33:00,18:33,175.0,10.0,10.0,2.0,-0.7476900061009127,1,2026-05-31 19:19:45.797427
18:34,215,18:34,1900-01-01 18:34:00,18:34,183.66666666666663,42.0,42.0,31.333333333333343,-0.4226907146277655,1,2026-05-31 19:19:45.797427
18:35,189,18:35,1900-01-01 18:35:00,18:35,192.33333333333337,-26.0,26.0,3.333333333333343,-0.6232823423539853,1,2026-05-31 19:19:45.797427
18:36,165,18:36,1900-01-01 18:36:00,18:36,189.66666666666663,-24.0,24.0,24.666666666666657,-0.8102327458319848,1,2026-05-31 19:19:45.797427
18:37,175,18:37,1900-01-01 18:37:00,18:37,176.33333333333334,10.0,10.0,1.3333333333333428,-0.732091490340477,1,2026-05-31 19:19:45.797427
18:38,178,18:38,1900-01-01 18:38:00,18:38,172.66666666666666,3.0,3.0,5.333333333333343,-0.7087202860837438,1,2026-05-31 19:19:45.797427
18:39,158,18:39,1900-01-01 18:39:00,18:39,170.33333333333334,-20.0,20.0,12.333333333333345,-0.8651648892508482,1,2026-05-31 19:19:45.797427
18:40,155,18:40,1900-01-01 18:40:00,18:40,163.66666666666666,-3.0,3.0,8.666666666666657,-0.888770157029474,1,2026-05-31 19:19:45.797427
18:41,167,18:41,1900-01-01 18:41:00,18:41,160.0,12.0,12.0,7.0,-0.7945741116705862,1,2026-05-31 19:19:45.797427
18:42,166,18:42,1900-01-01 18:42:00,18:42,162.66666666666666,-1.0,1.0,3.333333333333343,-0.8024014688379221,1,2026-05-31 19:19:45.797427
18:43,220,18:43,1900-01-01 18:43:00,18:43,184.33333333333337,54.0,54.0,35.66666666666666,-0.3842919430745654,1,2026-05-31 19:19:45.797427
18:44,428,18:44,1900-01-01 18:44:00,18:44,271.3333333333333,208.0,208.0,156.66666666666669,1.2276315990910318,-1,2026-05-31 19:19:45.797427
18:45,442,18:45,1900-01-01 18:45:00,18:45,363.3333333333333,14.0,14.0,78.66666666666669,1.3416709345696325,1,2026-05-31 19:19:45.797427
18:46,393,18:46,1900-01-01 18:46:00,18:46,421.0,-49.0,49.0,28.0,0.9476374803169384,1,2026-05-31 19:19:45.797427
18:47,428,18:47,1900-01-01 18:47:00,18:47,421.0,35.0,35.0,7.0,1.2276315990910318,1,2026-05-31 19:19:45.797427
18:48,383,18:48,1900-01-01 18:48:00,18:48,401.3333333333333,-45.0,45.0,18.33333333333331,0.8687776018961947,1,2026-05-31 19:19:45.797427
18:49,412,18:49,1900-01-01 18:49:00,18:49,407.6666666666667,29.0,29.0,4.333333333333314,1.0988001074653706,1,2026-05-31 19:19:45.797427
18:50,463,18:50,1900-01-01 18:50:00,18:50,419.3333333333333,51.0,51.0,43.666666666666686,1.5153341375009568,1,2026-05-31 19:19:45.797427
18:51,478,18:51,1900-01-01 18:51:00,18:51,451.0,15.0,15.0,27.0,1.6415294723518272,1,2026-05-31 19:19:45.797427
18:52,430,18:52,1900-01-01 18:52:00,18:52,457.0,-48.0,48.0,27.0,1.2438445246450152,1,2026-05-31 19:19:45.797427
18:53,429,18:53,1900-01-01 18:53:00,18:53,445.6666666666667,-1.0,1.0,16.666666666666686,1.2357349002178013,1,2026-05-31 19:19:45.797427
18:54,410,18:54,1900-01-01 18:54:00,18:54,423.0,-19.0,19.0,13.0,1.0827995682053713,1,2026-05-31 19:19:45.797427
18:55,431,18:55,1900-01-01 18:55:00,18:55,423.3333333333333,21.0,21.0,7.666666666666686,1.251960520515646,1,2026-05-31 19:19:45.797427
18:56,416,18:56,1900-01-01 18:56:00,18:56,419.0,-15.0,15.0,3.0,1.1308679067966343,1,2026-05-31 19:19:45.797427
18:57,403,18:57,1900-01-01 18:57:00,18:57,416.6666666666667,-13.0,13.0,13.666666666666686,1.026966662309193,1,2026-05-31 19:19:45.797427
18:58,407,18:58,1900-01-01 18:58:00,18:58,408.6666666666667,4.0,4.0,1.6666666666666856,1.058839441148786,1,2026-05-31 19:19:45.797427
18:59,63,18:59,1900-01-01 18:59:00,18:59,291.0,-344.0,344.0,228.0,-1.6376352360796274,-1,2026-05-31 19:19:45.797427
18:23,1,18:23,1900-01-01 18:23:00,18:23,1.0,0.0,0.0,0.0,-2.182589624499733,1,2026-05-31 19:26:19.948593
18:24,162,18:24,1900-01-01 18:24:00,18:24,81.5,161.0,161.0,80.5,-0.8337505054003543,1,2026-05-31 19:26:19.948593
18:25,219,18:25,1900-01-01 18:25:00,18:25,127.33333333333331,57.0,57.0,91.66666666666669,-0.3919678924939647,1,2026-05-31 19:26:19.948593
18:26,150,18:26,1900-01-01 18:26:00,18:26,177.0,-69.0,69.0,27.0,-0.9282003436205292,1,2026-05-31 19:26:19.948593
18:27,189,18:27,1900-01-01 18:27:00,18:27,186.0,39.0,39.0,3.0,-0.6232823423539853,1,2026-05-31 19:26:19.948593
18:28,165,18:28,1900-01-01 18:28:00,18:28,168.0,-24.0,24.0,3.0,-0.8102327458319848,1,2026-05-31 19:26:19.948593
18:29,227,18:29,1900-01-01 18:29:00,18:29,193.66666666666663,62.0,62.0,33.33333333333334,-0.33060941233118,1,2026-05-31 19:26:19.948593
18:30,158,18:30,1900-01-01 18:30:00,18:30,183.33333333333337,-69.0,69.0,25.333333333333343,-0.8651648892508482,1,2026-05-31 19:26:19.948593
18:31,189,18:31,1900-01-01 18:31:00,18:31,191.33333333333337,31.0,31.0,2.333333333333343,-0.6232823423539853,1,2026-05-31 19:26:19.948593
18:32,163,18:32,1900-01-01 18:32:00,18:32,170.0,-26.0,26.0,7.0,-0.8259072230511052,1,2026-05-31 19:26:19.948593
18:33,173,18:33,1900-01-01 18:33:00,18:33,175.0,10.0,10.0,2.0,-0.7476900061009127,1,2026-05-31 19:26:19.948593
18:34,215,18:34,1900-01-01 18:34:00,18:34,183.66666666666663,42.0,42.0,31.333333333333343,-0.4226907146277655,1,2026-05-31 19:26:19.948593
18:35,189,18:35,1900-01-01 18:35:00,18:35,192.33333333333337,-26.0,26.0,3.333333333333343,-0.6232823423539853,1,2026-05-31 19:26:19.948593
18:36,165,18:36,1900-01-01 18:36:00,18:36,189.66666666666663,-24.0,24.0,24.666666666666657,-0.8102327458319848,1,2026-05-31 19:26:19.948593
18:37,175,18:37,1900-01-01 18:37:00,18:37,176.33333333333334,10.0,10.0,1.3333333333333428,-0.732091490340477,1,2026-05-31 19:26:19.948593
18:38,178,18:38,1900-01-01 18:38:00,18:38,172.66666666666666,3.0,3.0,5.333333333333343,-0.7087202860837438,1,2026-05-31 19:26:19.948593
18:39,158,18:39,1900-01-01 18:39:00,18:39,170.33333333333334,-20.0,20.0,12.333333333333345,-0.8651648892508482,1,2026-05-31 19:26:19.948593
18:40,155,18:40,1900-01-01 18:40:00,18:40,163.66666666666666,-3.0,3.0,8.666666666666657,-0.888770157029474,1,2026-05-31 19:26:19.948593
18:41,167,18:41,1900-01-01 18:41:00,18:41,160.0,12.0,12.0,7.0,-0.7945741116705862,1,2026-05-31 19:26:19.948593
18:42,166,18:42,1900-01-01 18:42:00,18:42,162.66666666666666,-1.0,1.0,3.333333333333343,-0.8024014688379221,1,2026-05-31 19:26:19.948593
18:43,220,18:43,1900-01-01 18:43:00,18:43,184.33333333333337,54.0,54.0,35.66666666666666,-0.3842919430745654,1,2026-05-31 19:26:19.948593
18:44,428,18:44,1900-01-01 18:44:00,18:44,271.3333333333333,208.0,208.0,156.66666666666669,1.2276315990910318,-1,2026-05-31 19:26:19.948593
18:45,442,18:45,1900-01-01 18:45:00,18:45,363.3333333333333,14.0,14.0,78.66666666666669,1.3416709345696325,1,2026-05-31 19:26:19.948593
18:46,393,18:46,1900-01-01 18:46:00,18:46,421.0,-49.0,49.0,28.0,0.9476374803169384,1,2026-05-31 19:26:19.948593
18:47,428,18:47,1900-01-01 18:47:00,18:47,421.0,35.0,35.0,7.0,1.2276315990910318,1,2026-05-31 19:26:19.948593
18:48,383,18:48,1900-01-01 18:48:00,18:48,401.3333333333333,-45.0,45.0,18.33333333333331,0.8687776018961947,1,2026-05-31 19:26:19.948593
18:49,412,18:49,1900-01-01 18:49:00,18:49,407.6666666666667,29.0,29.0,4.333333333333314,1.0988001074653706,1,2026-05-31 19:26:19.948593
18:50,463,18:50,1900-01-01 18:50:00,18:50,419.3333333333333,51.0,51.0,43.666666666666686,1.5153341375009568,1,2026-05-31 19:26:19.948593
18:51,478,18:51,1900-01-01 18:51:00,18:51,451.0,15.0,15.0,27.0,1.6415294723518272,1,2026-05-31 19:26:19.948593
18:52,430,18:52,1900-01-01 18:52:00,18:52,457.0,-48.0,48.0,27.0,1.2438445246450152,1,2026-05-31 19:26:19.948593
18:53,429,18:53,1900-01-01 18:53:00,18:53,445.6666666666667,-1.0,1.0,16.666666666666686,1.2357349002178013,1,2026-05-31 19:26:19.948593
18:54,410,18:54,1900-01-01 18:54:00,18:54,423.0,-19.0,19.0,13.0,1.0827995682053713,1,2026-05-31 19:26:19.948593
18:55,431,18:55,1900-01-01 18:55:00,18:55,423.3333333333333,21.0,21.0,7.666666666666686,1.251960520515646,1,2026-05-31 19:26:19.948593
